EEG_CH1_RAW	EEG_CH1_BP_0p5_20
-62606	-23749.836
-51181	-23801.453
-25804	-23875.34
-19867	-23966.479
-44315	-24066.342
-62576	-24168.912
-51068	-24265.012
-26026	-24343.0
-20357	-24393.252
-44450	-24409.377
-62411	-24394.08
-50924	-24352.438
-25866	-24290.494
-20297	-24216.666
-44545	-24139.99
-62276	-24073.477
-50803	-24025.652
-26107	-23998.814
-20823	-23991.607
-44679	-23999.266
-62062	-24019.395
-50639	-24046.385
-26179	-24072.258
-20981	-24090.527
-44769	-24096.994
-61966	-24094.629
-50523	-24086.445
-26147	-24074.287
-21232	-24060.559
-44983	-24047.309
-61858	-24040.146
-50377	-24040.895
-26156	-24047.232
-21303	-24055.602
-45049	-24061.918
-61716	-24066.768
-50215	-24069.152
-25977	-24066.568
-21312	-24057.691
-45137	-24042.299
-61599	-24025.533
-50087	-24010.453
-25824	-23997.473
-21266	-23986.36
-45220	-23976.168
-61498	-23970.014
-49966	-23968.121
-25789	-23968.152
-21386	-23967.576
-45349	-23964.352
-61482	-23961.445
-49865	-23959.951
-25712	-23958.826
-21473	-23957.035
-45472	-23953.562
-61455	-23951.918
-49772	-23952.91
-25536	-23954.82
-21539	-23955.531
-45566	-23953.043
-61414	-23950.111
-49672	-23947.17
-25509	-23942.68
-21676	-23935.102
-45682	-23923.312
-61494	-23910.934
-49729	-23899.236
-25546	-23887.38
-21802	-23874.307
-45918	-23859.207
-61543	-23845.912
-49534	-23835.783
-25341	-23827.875
-21873	-23820.857
-46017	-23813.56
-61481	-23809.162
-49411	-23808.19
-25131	-23808.865
-21879	-23809.06
-46068	-23807.215
-61493	-23806.574
-49329	-23808.133
-25081	-23811.107
-22004	-23814.557
-46172	-23818.154
-61418	-23825.742
-49159	-23838.246
-24967	-23853.732
-22111	-23869.338
-46252	-23882.22
-61356	-23893.611
-49068	-23902.293
-25019	-23905.291
-22381	-23900.232
-46419	-23886.586
-61282	-23869.29
-49014	-23851.48
-25112	-23834.674
-22699	-23820.148
-46543	-23809.691
-61217	-23808.145
-48833	-23816.438
-25038	-23831.96
-22806	-23850.777
-46634	-23869.256
-61084	-23887.701
-48711	-23904.105
-25026	-23915.326
-23012	-23919.186
-46743	-23915.814
-60921	-23910.064
-48587	-23905.246
-25974	-23902.172
-25486	-23901.047
-46842	-23903.154
-60684	-23911.857
-48425	-23926.85
-25410	-23944.945
-23816	-23962.338
-46966	-23976.52
-60549	-23989.156
-48329	-23999.793
-25321	-24006.738
-23750	-24008.996
-46941	-24007.248
-60385	-24006.262
-48219	-24007.572
-25350	-24010.299
-23930	-24012.854
-46982	-24014.21
-60112	-24016.559
-48068	-24018.742
-25376	-24017.814
-24074	-24011.01
-47009	-23997.482
-59852	-23980.773
-47874	-23962.055
-25304	-23941.266
-24084	-23918.543
-47080	-23895.402
-59586	-23876.92
-47657	-23864.387
-25803	-23856.76
-24871	-23852.344
-46982	-23850.361
-59035	-23853.092
-47431	-23859.22
-25273	-23865.854
-24307	-23870.064
-46978	-23870.588
-58786	-23870.32
-47234	-23869.096
-25101	-23865.7
-24284	-23859.047
-47029	-23849.773
-58681	-23842.316
-47072	-23837.611
-25126	-23835.123
-24549	-23833.912
-47081	-23834.39
-58619	-23840.258
-46847	-23851.453
-25537	-23866.008
-26036	-23881.336
-47059	-23896.758
-58451	-23914.268
-46755	-23932.215
-25051	-23947.523
-24812	-23956.969
-47302	-23959.188
-58600	-23956.91
-46778	-23949.896
-24727	-23937.47
-24617	-23919.346
-47377	-23897.56
-58841	-23877.904
-46838	-23862.766
-24255	-23852.834
-24258	-23847.5
-47456	-23846.61
-58921	-23852.398
-46715	-23862.578
-24382	-23873.03
-24698	-23879.033
-47632	-23878.26
-58950	-23873.006
-46718	-23863.63
-24378	-23851.014
-24891	-23836.87
-47867	-23825.422
-58988	-23824.133
-46635	-23835.854
-24327	-23860.209
-24993	-23893.8
-47856	-23932.56
-58939	-23973.725
-46552	-24010.145
-24425	-24033.928
-25443	-24038.475
-47935	-24022.377
-58851	-23991.178
-46408	-23950.812
-24369	-23909.125
-25391	-23874.988
-48067	-23858.969
-58767	-23872.455
-46352	-23919.188
-24263	-23996.676
-25484	-24096.494
-48141	-24207.676
-58643	-24319.477
-46174	-24417.06
-24613	-24486.387
-26364	-24516.648
-48066	-24505.018
-58467	-24457.338
-46046	-24381.594
-24957	-24288.492
-26424	-24190.188
-48344	-24100.258
-58516	-24032.379
-46068	-23992.344
-24376	-23979.98
-26034	-23989.35
-48357	-24012.92
-58338	-24044.24
-45917	-24073.4
-24280	-24091.59
-26169	-24092.24
-48422	-24074.902
-58197	-24045.66
-45789	-24009.87
-24216	-23973.508
-26201	-23941.488
-48384	-23919.312
-58022	-23912.908
-45667	-23921.781
-24131	-23942.037
-26257	-23966.559
-48432	-23989.473
-57936	-24007.826
-45565	-24016.084
-24002	-24009.846
-26269	-23985.783
-48454	-23944.896
-57819	-23892.928
-45451	-23833.305
-23885	-23769.805
-26353	-23705.232
-48462	-23644.592
-57677	-23595.213
-45299	-23559.977
-23734	-23540.357
-26440	-23535.486
-48578	-23545.63
-57663	-23572.527
-45240	-23612.975
-23762	-23662.154
-26609	-23713.045
-48644	-23760.742
-57619	-23803.16
-45135	-23835.346
-24454	-23853.09
-28117	-23852.79
-48749	-23835.748
-57565	-23807.275
-45012	-23770.512
-23759	-23728.965
-27012	-23684.895
-48844	-23642.547
-57548	-23607.812
-44967	-23581.393
-23642	-23562.527
-27011	-23548.104
-48958	-23537.318
-57491	-23531.906
-44912	-23530.459
-23772	-23531.906
-27275	-23534.611
-48994	-23540.127
-57391	-23552.463
-44832	-23571.525
-23771	-23596.12
-27343	-23622.86
-49003	-23650.266
-57259	-23678.758
-44730	-23704.992
-23862	-23725.906
-27553	-23738.248
-49051	-23742.91
-57106	-23744.354
-44642	-23744.29
-23889	-23744.73
-27740	-23746.041
-49064	-23750.791
-56959	-23762.41
-44535	-23779.107
-23897	-23797.748
-27917	-23813.002
-49141	-23822.545
-56798	-23826.83
-44407	-23823.97
-23897	-23813.666
-28136	-23796.059
-49177	-23775.652
-56649	-23759.89
-44376	-23752.373
-24317	-23755.738
-28558	-23769.746
-49124	-23795.318
-56399	-23833.213
-44250	-23878.83
-24815	-23926.305
-29487	-23968.414
-49114	-24001.646
-56219	-24024.76
-44181	-24035.59
-24711	-24033.117
-29023	-24016.67
-49112	-23989.758
-55967	-23958.398
-44045	-23925.113
-24410	-23892.254
-28983	-23860.13
-49122	-23831.379
-55814	-23809.729
-44002	-23794.43
-24399	-23784.367
-29124	-23776.465
-49096	-23770.531
-55621	-23767.979
-43955	-23766.348
-24513	-23763.578
-29369	-23756.184
-49077	-23744.4
-55433	-23730.705
-43799	-23714.527
-24487	-23696.389
